wsdjeg;2;2;2;2;5;2;3;2;2;2;2;9;6;3;2;2;4;2;2;2;3;3;2;2;2;2;2;2;2;2;2;3;2;2;2;5;8;2;3;2;3;2;5;3;2;2;6;3;3;2;4;2;3;3;3;4;2;2;3;2;2;3;2;2;2;3;2;3;5;2;3;2;3;3;2;3;19;39;2;4;2;2;2;3;2;2;4;2;2;5;2;2;2;3;2;4;5;3;3;3;3;5;5;2;2;5;2;3;2;2;6;11;2;3;5;3;3;3;2;2;5;2;2;3;2;5;2;5;3;6;2;11;2;6;2;3;4;3;2;2;3;2;2;2;3;2;2;4;2;2;12;10;6;5;14;11;2;2;3;5;1115;0.6340807174887892
jiahut;1111;1;1.0
monkeydterry;1109;1;1.0
mhinz;1106;1;1.0
Yggdroot;1105;1;1.0
lisqorz;1105;1;1.0
NamPNQ;1105;1;1.0
timothyjlaurent;1100;1;1.0
autoferrit;1096;1;1.0
camdencheek;30;2;2;12;1044;49;0.14285714285714285
Leonidas-from-XIV;2;1088;3;0.6666666666666666
igalic;1089;1;1.0
lsrdg;20;212;79;769;313;0.01597444089456869
makepanic;1080;1;1.0
helinb;1076;1;1.0
ZSaberLv0;1069;1;1.0
fallenwood;1068;1;1.0
kingofctrl;17;1051;18;0.1111111111111111
NSenaud;1065;1;1.0
Gabirel;19;50;33;20;192;5;16;723;340;0.03529411764705882
NWuensche;1053;1;1.0
v-leonhou;1038;1;1.0
technosophos;1036;1;1.0
fazlearefin;1024;1;1.0
zeroasterisk;1022;2;1.0
mamantoha;1021;1;1.0
jen20;1018;1;1.0
icearith;234;11;5;9;33;7;6;9;22;7;188;475;536;0.029850746268656716
tracyone;236;21;29;723;287;0.013937282229965157
jetm;7;24;42;357;576;431;0.01160092807424594
memilanuk;1003;1;1.0
techgaun;27;18;4;7;52;45;5;20;49;69;206;6;7;470;516;0.027131782945736434
L-stt;6;37;2;17;921;63;0.07936507936507936
pertrai1;981;1;1.0
ankokumoyashi;22;938;23;0.08695652173913043
tenfyzhong;3;6;23;18;883;52;0.11538461538461539
Zym-xx;920;1;1.0
kenjitoyama;912;1;1.0
mdavezac;120;777;121;0.01652892561983471
tennysontbardwell;886;1;1.0
lewiscowper;876;1;1.0
Motardo;869;1;1.0
zhujinxuan;18;103;10;94;7;3;39;10;22;560;309;0.038834951456310676
gepoch;866;1;1.0
oldstager;862;1;1.0
hrokr;9;829;10;0.2
blueyed;3;7;9;30;783;54;0.16666666666666666
qianlei90;823;1;1.0
sei40kr;7;2;13;4;2;4;9;11;14;17;3;4;3;6;2;16;2;691;132;0.22727272727272727
felixonmars;232;586;233;0.008583690987124463
adrnbttr;815;1;1.0
crisidev;23;223;566;247;0.012145748987854251
imWillX;810;2;1.0
aeruder;810;1;1.0
ssfdust;221;195;23;2;4;108;2;13;240;571;0.01926444833625219
Phlosioneer;799;1;1.0
gisphm;793;1;1.0
kamontat;789;1;1.0
zhangjiayin;786;1;1.0
mracos;786;1;1.0
gokhanettin;780;1;1.0
chenong;775;1;1.0
fabiogibson;770;1;1.0
BH1SCW;765;1;1.0
ws198601;759;1;1.0
thawk;47;44;64;283;217;3;4;4;8;74;677;0.01772525849335303
everettjf;746;1;1.0
machty;744;1;1.0
ijt;721;1;1.0
myklam;707;1;1.0
kiooss;706;1;1.0
VyronLee;109;438;146;548;0.005474452554744526
PeteW;681;1;1.0
DwordPtr;674;1;1.0
ehamberg;670;1;1.0
Infern1;665;1;1.0
AsmCoder110;659;1;1.0
mimame;655;1;1.0
BretFisher;361;290;362;0.0055248618784530384
goolord;635;1;1.0
bchatard;630;1;1.0
DrWowa;614;1;1.0
execat;614;1;1.0
pkazmier;613;1;1.0
bram2000;600;1;1.0
xiayyu;593;1;1.0
ccojocar;585;2;1.0
ArnaudValensi;586;1;1.0
samuel-lindgren;582;1;1.0
docwhat;579;1;1.0
jingpengw;574;2;1.0
bram209;567;1;1.0
s97712;567;1;1.0
gautamnaik1994;562;1;1.0
nikolaussucher;28;46;129;57;301;262;0.022900763358778626
MrQubo;30;528;31;0.06451612903225806
dleen;557;1;1.0
joshuarosato;553;1;1.0
ethe;546;1;1.0
wy-z;539;1;1.0
mbkv;514;1;1.0
kayfay;503;1;1.0
rcasta74;500;1;1.0
gbrlcustodio;478;1;1.0
cyancity;473;1;1.0
birdayz;465;1;1.0
812lcl;454;1;1.0
stfl;8;44;78;121;174;252;0.01984126984126984
monkeyxite;423;1;1.0
pjvds;417;1;1.0
ProgramFan;405;1;1.0
Fetz;505;1;1.0
unclechu;3;392;4;0.5
svalaskevicius;392;1;1.0
dyno;384;1;1.0
zhuscat;374;1;1.0
lummax;373;1;1.0
utix;371;3;1.0
chenlijun99;13;6;6;7;340;33;0.15151515151515152
mikem;370;1;1.0
Rom1deTroyes;111;207;48;319;0.009404388714733543
jawn;360;1;1.0
gundalow;359;1;1.0
amireldor;353;1;1.0
JesseBilsten;348;1;1.0
faustman;341;1;1.0
agriffis;317;1;1.0
fwolfst;317;1;1.0
JoshTGreenwood;317;1;1.0
seungdols;306;1;1.0
yaowenqiang;304;1;1.0
tyrinwu;304;1;1.0
alanding1989;2;2;3;2;2;30;3;5;17;141;3;85;216;0.0787037037037037
creativenull;295;1;1.0
SallySoul;293;1;1.0
zeroryuki;288;1;1.0
kfrncs;270;1;1.0
garigari-kun;269;1;1.0
nedludd;266;1;1.0
patrickng;253;1;1.0
yuvipanda;253;1;1.0
gilgameshskytrooper;249;1;1.0
VarunBatraIT;229;1;1.0
autra;229;1;1.0
wlemuel;221;1;1.0
zmactep;214;1;1.0
adgitate1;12;170;13;0.15384615384615385
TheNetAdmin;181;1;1.0
PandaLz;180;1;1.0
sanfusu;179;1;1.0
sniperwolf;11;163;12;0.16666666666666666
aguynamedryan;171;1;1.0
spankie;171;1;1.0
nahuef;154;1;1.0
reyammer;150;1;1.0
ghedamat;150;1;1.0
lqhSniper;5;141;6;0.3333333333333333
Me1onRind;127;1;1.0
edrex;126;1;1.0
